Goods ,Manufacturing,Durable manufacturing industries,"Non-metallic mineral product manufacturing	",Non-metallic mineral product manufacturing (except cement and concrete products) [327A] 3,"2,508"
Goods ,Manufacturing,Durable manufacturing industries,"Primary metal manufacturing	",Iron and steel mills and ferro-alloy manufacturing [3311],"2,922"
Goods ,Manufacturing,Durable manufacturing industries,"Primary metal manufacturing	",Steel product manufacturing from purchased steel [3312],"1,667"
Goods ,Manufacturing,Durable manufacturing industries,"Primary metal manufacturing	",Alumina and aluminum production and processing [3313],"4,460"
Goods ,Manufacturing,Durable manufacturing industries,"Primary metal manufacturing	",Non-ferrous metal (except aluminum) production and processing [3314],"5,142"
Goods ,Manufacturing,Durable manufacturing industries,"Primary metal manufacturing	",Foundries [3315],944
Goods ,Manufacturing,Durable manufacturing industries,"Fabricated metal product manufacturing	",Forging and stamping [3321],571
Goods ,Manufacturing,Durable manufacturing industries,"Fabricated metal product manufacturing	",Architectural and structural metals manufacturing [3323],"4,608"
Goods ,Manufacturing,Durable manufacturing industries,"Fabricated metal product manufacturing	","Boiler, tank and shipping container manufacturing [3324]","1,146"
Goods ,Manufacturing,Durable manufacturing industries,"Fabricated metal product manufacturing	",Hardware manufacturing [3325],607
Goods ,Manufacturing,Durable manufacturing industries,"Fabricated metal product manufacturing	",Spring and wire product manufacturing [3326],307
Goods ,Manufacturing,Durable manufacturing industries,"Fabricated metal product manufacturing	","Machine shops, turned product, and screw, nut and bolt manufacturing [3327]","2,912"
Goods ,Manufacturing,Durable manufacturing industries,"Fabricated metal product manufacturing	","Coating, engraving, heat treating and allied activities [3328]",816
Goods ,Manufacturing,Durable manufacturing industries,"Fabricated metal product manufacturing	","Cutlery, hand tools and other fabricated metal product manufacturing [332A] 3","2,351"
Goods ,Manufacturing,Durable manufacturing industries,"Machinery manufacturing	","Agricultural, construction and mining machinery manufacturing [3331]","2,993"
Goods ,Manufacturing,Durable manufacturing industries,"Machinery manufacturing	",Industrial machinery manufacturing [3332],"1,589"
Goods ,Manufacturing,Durable manufacturing industries,"Machinery manufacturing	",Commercial and service industry machinery manufacturing [3333],"2,640"
Goods ,Manufacturing,Durable manufacturing industries,"Machinery manufacturing	","Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing [3334]","2,020"
Goods ,Manufacturing,Durable manufacturing industries,"Machinery manufacturing	",Metalworking machinery manufacturing [3335],"2,343"
Goods ,Manufacturing,Durable manufacturing industries,"Machinery manufacturing	","Engine, turbine and power transmission equipment manufacturing [3336]",699
Goods ,Manufacturing,Durable manufacturing industries,"Machinery manufacturing	",Other general-purpose machinery manufacturing [3339],"3,772"
Goods ,Manufacturing,Durable manufacturing industries,"Computer and electronic product manufacturing	",Computer and peripheral equipment manufacturing [3341],613
Goods ,Manufacturing,Durable manufacturing industries,"Computer and electronic product manufacturing	",Communications equipment manufacturing [3342],"1,629"
Goods ,Manufacturing,Durable manufacturing industries,"Computer and electronic product manufacturing	",Semiconductor and other electronic component manufacturing [3344],"1,125"
Goods ,Manufacturing,Durable manufacturing industries,"Computer and electronic product manufacturing	",Other electronic product manufacturing [334A] 3,"2,752"
Goods ,Manufacturing,Durable manufacturing industries,"Electrical equipment, appliance and component manufacturing	",Electric lighting equipment manufacturing [3351],665
Goods ,Manufacturing,Durable manufacturing industries,"Electrical equipment, appliance and component manufacturing	",Household appliance manufacturing [3352],156
Goods ,Manufacturing,Durable manufacturing industries,"Electrical equipment, appliance and component manufacturing	",Electrical equipment manufacturing [3353],"1,571"
Goods ,Manufacturing,Durable manufacturing industries,"Electrical equipment, appliance and component manufacturing	",Other electrical equipment and component manufacturing [3359],"1,131"
Goods ,Manufacturing,Durable manufacturing industries,"Transportation equipment manufacturing	",Motor vehicle manufacturing [3361],"7,802"
Goods ,Manufacturing,Durable manufacturing industries,"Transportation equipment manufacturing	",Motor vehicle body and trailer manufacturing [3362],970
