,,,,,"Gross domestic product (GDP) at basic prices, by industry, monthly, industry detail (x 1,000,000) 1 2",,,,,,
,,,,,Monthly,,,,,,
,,,,,Table: 36-10-0434-04 (formerly CANSIM 379-0031),,,,,,
,,,,,Geography: Canada,,,,,,
,,,,,,,,,,,
,,,,,,Seasonally adjusted at annual rates,,,,,
,,,,,,Chained (2007) dollars,,,,,
,,,,,,Canada (map),,,,,
,,,,,North American Industry Classification System (NAICS),Jan-18,Feb-18,Mar-18,Apr-18,May-18,
,,,,,,Dollars,,,,,
,,,,,"Soap, cleaning compound and toilet preparation manufacturing [3256]","1,494","1,407","1,489","1,447","1,590",
,,,,,Other chemical product manufacturing [3259],"1,612","1,597","1,454","1,566","1,624",
,,,,"Plastics and rubber products manufacturing	",Plastic product manufacturing [3261],"8,421","8,152","8,831","9,137","8,787",
,,,,,Rubber product manufacturing [3262],"1,907","1,979","1,949","1,989","1,802",
,,,Durable manufacturing industries,"Non-metallic mineral product manufacturing	",Cement and concrete product manufacturing [3273],"4,015","3,886","3,457","3,698","3,861",
,,,,,Non-metallic mineral product manufacturing (except cement and concrete products) [327A] 3,"2,491","2,505","2,634","2,627","2,508",
,,,,"Primary metal manufacturing	",Iron and steel mills and ferro-alloy manufacturing [3311],"2,534","2,689","2,832","2,921","2,922",
,,,,,Steel product manufacturing from purchased steel [3312],"1,672","1,601","1,583","1,747","1,667",
,,,,,Alumina and aluminum production and processing [3313],"4,490","4,444","4,552","4,598","4,460",
,,,,,Non-ferrous metal (except aluminum) production and processing [3314],"5,038","5,288","5,246","5,080","5,142",
,,,,,Foundries [3315],898,897,866,913,944,
,,,,"Fabricated metal product manufacturing	",Forging and stamping [3321],547,583,624,601,571,
,,,,,Architectural and structural metals manufacturing [3323],"4,305","4,651","4,918","5,113","4,608",
,,,,,"Boiler, tank and shipping container manufacturing [3324]","1,148","1,247","1,174","1,260","1,146",
,,,,,Hardware manufacturing [3325],582,590,625,670,607,
,,,,,Spring and wire product manufacturing [3326],316,346,350,343,307,
,,,,,"Machine shops, turned product, and screw, nut and bolt manufacturing [3327]","2,829","3,065","3,034","3,020","2,912",
,,,,,"Coating, engraving, heat treating and allied activities [3328]",823,854,812,895,816,
,,,,,"Cutlery, hand tools and other fabricated metal product manufacturing [332A] 3","2,357","2,140","2,301","2,110","2,351",
,,,,"Machinery manufacturing	","Agricultural, construction and mining machinery manufacturing [3331]","2,906","3,057","2,779","2,912","2,993",
,,,,,Industrial machinery manufacturing [3332],"1,571","1,592","1,376","1,463","1,589",
,,,,,Commercial and service industry machinery manufacturing [3333],"2,837","2,798","2,730","2,909","2,640",
,,,,,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing [3334]","1,974","1,805","1,703","1,918","2,020",
,,,,,Metalworking machinery manufacturing [3335],"2,311","2,294","2,060","2,241","2,343",
,,,,,"Engine, turbine and power transmission equipment manufacturing [3336]",738,726,707,765,699,
,,,,,Other general-purpose machinery manufacturing [3339],"3,965","3,521","3,754","3,464","3,772",
,,,,"Computer and electronic product manufacturing	",Computer and peripheral equipment manufacturing [3341],710,695,652,618,613,
,,,,,Communications equipment manufacturing [3342],"1,660","1,480","1,499","1,509","1,629",
,,,,,Semiconductor and other electronic component manufacturing [3344],"1,124","1,113","1,138","1,201","1,125",
,,,,,Other electronic product manufacturing [334A] 3,"2,704","2,662","2,503","2,597","2,752",
,,,,"Electrical equipment, appliance and component manufacturing	",Electric lighting equipment manufacturing [3351],629,573,616,608,665,
,,,,,Household appliance manufacturing [3352],154,153,153,150,156,
,,,,,Electrical equipment manufacturing [3353],"1,510","1,594","1,512","1,404","1,571",
,,,,,Other electrical equipment and component manufacturing [3359],"1,230","1,177","1,187","1,187","1,131",
,,,,"Transportation equipment manufacturing	",Motor vehicle manufacturing [3361],"7,750","7,959","8,008","8,068","7,802",
,,,,,Motor vehicle body and trailer manufacturing [3362],"1,027",959,"1,048","1,074",970,
,,,,,Motor vehicle parts manufacturing [3363],"9,032","9,419","9,073","9,031","8,811",
,,,,,Aerospace product and parts manufacturing [3364],"6,865","6,924","6,973","7,015","7,036",
,,,,,Railroad rolling stock manufacturing [3365],600,619,612,600,613,
,,,,,Ship and boat building [3366],781,712,704,668,620,
,,,,,Other transportation equipment manufacturing [3369],"1,247","1,483","2,018","1,578","1,449",
,,,,"Furniture and related product manufacturing	",Household and institutional furniture and kitchen cabinet manufacturing [3371],"2,469","2,493","2,615","2,524","2,733",
,,,,,Office furniture (including fixtures) manufacturing [3372],"1,593","1,529","1,457","1,506","1,518",
,,,,,Other furniture-related product manufacturing [3379],412,412,393,414,393,
,,,,Miscellaneous manufacturing,Medical equipment and supplies manufacturing [3391],"1,420","1,444","1,493","1,624","1,481",
,,,,,Other miscellaneous manufacturing [3399],"2,277","2,104","2,024","2,239","2,357",
,Services,Trade,Wholesale trade,,Farm product wholesaler-distributors [411],"1,690","1,493","1,636","1,569","1,788",
,,,,,Petroleum product wholesaler-distributors [412],"5,005","4,952","4,886","5,056","5,056",
,,,,,"Food, beverage and tobacco wholesaler-distributors [413]","11,910","11,769","11,680","11,868","11,799",
,,,,,Personal and household goods wholesaler-distributors [414],"15,118","14,996","15,190","15,233","15,035",
,,,,,Motor vehicle and parts wholesaler-distributors [415],"8,705","8,444","8,923","8,540","8,457",
,,,,,Building material and supplies wholesaler-distributors [416],"15,270","15,591","16,022","15,811","16,508",
,,"Information and communication technology, services",,,"Machinery, equipment and supplies wholesaler-distributors [417]","29,277","29,555","29,568","29,892","30,083",
,,,,,Miscellaneous wholesaler-distributors [418],"13,483","13,147","13,036","12,969","13,615",
,,,,,"Wholesale electronic markets, and agents and brokers [419]","2,732","2,718","2,722","2,745","2,781",
,,,Retail Trade,,Motor vehicle and parts dealers [441],"16,849","17,056","17,567","17,014","17,724",
,,,,,Furniture and home furnishings stores [442],"4,199","4,169","4,326","4,332","4,337",
,,,,,Electronics and appliance stores [443],"5,322","5,247","5,119","5,218","5,187",
,,,,,Building material and garden equipment and supplies dealers [444],"7,164","7,355","7,329","7,113","7,517",
,,,,,Food and beverage stores [445],"16,887","16,823","16,765","17,127","16,852",
,,,,,Health and personal care stores [446],"10,815","10,731","10,681","10,636","10,665",
,,,,,Gasoline stations [447],"6,086","6,002","5,908","5,921","6,085",
,,,,,Clothing and clothing accessories stores [448],"10,218","10,055","10,407","10,065","10,559",
,,,,,"Sporting goods, hobby, book and music stores [451]","3,227","3,233","3,248","3,268","3,289",
,,,,,General merchandise stores [452],"9,688","9,890","9,932","9,684","10,043",
,,,,,Miscellaneous store retailers [453],"3,574","3,633","3,729","3,636","3,788",
,,,,,Non-store retailers [454],"3,026","3,061","2,991","2,989","2,936",
,,Transportation and warehousing,Transportation and warehousing,,Air transportation [481],"10,251","10,346","10,392","10,471","10,457",
,,,,,Rail transportation [482],"7,653","7,651","7,693","7,517","7,606",
,,,,,Water transportation [483],"1,584","1,579","1,605","1,587","1,602",
,,,,,Truck transportation [484],"22,666","22,864","23,009","22,981","23,110",
,,,,,Urban transit systems [4851],"4,432","4,460","4,391","4,412","4,428",
,,,,,Taxi and limousine service [4853],"1,026","1,039","1,046","1,045","1,059",
,,,,,Other transit and ground passenger transportation and scenic and sightseeing transportation [48A] 3,"2,240","2,222","2,268","2,251","2,251",
,,,"Energy sector	",,Pipeline transportation of natural gas [4862],"2,873","2,812","3,023","2,971","2,923",
,,,,,Crude oil and other pipeline transportation [486A] 3,"3,170","3,182","3,291","3,305","3,342",
,,,Support activities for transportation [488],,Support activities for transportation [488],"15,068","15,132","15,274","15,259","15,365",
,,,Postal and courier services,,Postal service [491],"3,055","3,045","3,001","2,966","2,917",
,,,,,Couriers and messengers [492],"3,448","3,517","3,452","3,514","3,574",
,,,Warehousing and storage [493],,Warehousing and storage [493],"2,822","2,811","2,797","2,862","2,891",
,,Information and cultural industries,"Content and media sector	",,Publishing industries (except Internet) [511],"9,786","9,800","9,780","9,803","9,776",
,,,,,Motion picture and sound recording industries [512],"4,538","4,565","4,569","4,589","4,627",
,,,,,Radio and television broadcasting [5151],"2,363","2,482","2,445","2,360","2,387",
,,,,,Pay and specialty television [5152],"1,076","1,074","1,075","1,075","1,074",
,,,"Information and communication technology, services",,Telecommunications [517],"30,558","30,566","30,575","30,533","30,501",
,,,,,"Data processing, hosting, and related services [518]","1,722","1,732","1,740","1,759","1,749",
,,,"Content and media sector	",,Other information services [519],"2,175","2,162","2,171","2,186","2,208",
,,Business Sector,Finance and insurance,,Local credit unions [52213],"4,974","4,973","5,001","4,993","4,998",
,,,,,"Banking, monetary authorities and other depository credit intermediation [52BX] 3","59,030","59,133","58,657","58,832","59,196",
,,,,,Non-depository credit intermediation [5222],"6,932","6,925","6,940","6,897","6,880",
,,,,,Activities related to credit intermediation [5223],"2,286","2,241","2,239","2,247","2,258",
,,,,,Insurance carriers [5241],"21,408","21,425","21,332","21,398","21,448",
,,,,,"Agencies, brokerages and other insurance related activities [5242]","6,758","6,791","6,759","6,728","6,738",
,,,,,"Financial investment services, funds and other financial vehicles [52A] 3","22,743","23,423","22,688","22,710","22,811",
,,,Real estate and rental and leasing,,Lessors of real estate [5311],"58,874","58,987","59,075","59,188","59,312",
,,,,,Owner-occupied dwellings [5311A],"145,063","145,411","145,774","146,209","146,511",
,,,,,Offices of real estate agents and brokers and activities related to real estate [531A] 3,"9,996","9,199","9,035","9,070","8,827",
,,,,,Automotive equipment rental and leasing [5321],"3,788","3,809","3,813","3,770","3,699",
,,,,,Rental and leasing services (except automotive equipment) [532A] 3,"8,211","8,086","8,019","8,096","8,147",
,,,,,Lessors of non-financial intangible assets (except copyrighted works) [533],"1,777","1,773","1,801","1,760","1,762",
,,,"Professional, scientific and technical services",,Legal services [5411],"11,506","11,531","11,272","11,366","11,229",
,,,,,"Accounting, tax preparation, bookkeeping and payroll services [5412]","11,350","11,423","11,495","11,489","11,507",
,,,,,"Architectural, engineering and related services [5413]","20,229","20,286","20,396","20,551","20,642",
,,,,,Computer systems design and related services [5415],"28,138","28,403","28,791","28,705","29,131",
,,,,,"Advertising, public relations, and related services [5418]","4,218","4,235","4,292","4,312","4,298",
,,,,,Specialized design services [5414],"1,223","1,219","1,213","1,210","1,216",
,,,,,"Management, scientific and technical consulting services [5416]","11,873","11,925","11,969","12,088","12,160",
,,,,,Scientific research and development services [5417],"3,979","4,005","4,053","4,060","4,095",
,,,,,"Other professional, scientific and technical services [5419]","5,358","5,327","5,358","5,369","5,385",
,,,Management of companies and enterprises,,Management of companies and enterprises [55],"10,813","10,812","10,823","10,844","10,879",
,,,"Administrative and support, waste management and remediation services",,Office administrative services [5611],"6,004","5,900","5,807","5,762","5,728",
,,,,,Employment services [5613],"6,571","6,561","6,477","6,499","6,488",
,,,,,Business support services [5614],"4,183","4,204","4,264","4,326","4,325",
,,,,,Travel arrangement and reservation services [5615],"1,980","1,978","1,982","1,986","1,997",
,,,,,Investigation and security services [5616],"4,081","4,126","4,165","4,160","4,170",
,,,,,Services to buildings and dwellings [5617],"8,035","8,033","8,053","8,058","8,054",
,,,,,Facilities and other support services [561A] 3,"5,966","5,994","6,049","6,124","6,207",
,,,,,Waste management and remediation services [562],"5,934","5,991","6,032","6,053","6,108",
,,Public sector,"Educational services	",,Elementary and secondary schools [6111],"47,439","47,591","47,576","47,439","47,479",
,,,,,Community colleges and C.E.G.E.P.s [6112],"7,706","7,761","7,830","7,869","7,878",
,,,,,Universities [6113],"32,395","32,301","32,075","32,333","32,297",
,,,,,Other educational services [611A] 3,"3,991","4,021","4,050","4,077","4,098",
,,,Health care and social assistance,,Ambulatory health care services [621],"44,657","44,807","45,082","45,328","45,634",
,,,,,Hospitals [622],"41,744","41,741","41,784","41,616","41,533",
,,,,,Nursing and residential care facilities [623],"17,698","17,686","17,727","17,711","17,725",
,,,,,Social Assistance [624],"12,847","12,869","12,965","13,035","13,129",
,,Business Sector,"Arts, entertainment and recreation",,"Performing arts, spectator sports and related industries, and heritage institutions [71A] 3","6,042","6,284","6,274","6,054","6,436",
,,,,,Gambling industries [7132],"2,230","2,287","2,264","2,290","2,323",
